Denominazione,Abstract,Categoria,Tipologia_Prevalente,Comune,Indirizzo,Proprieta,Date_complesso_archivistico,lat_comune,long_omune
Archivio Storico Comunale di Tito,,Archivio Pubblico Non Statale,Archivio documentale,Tito,"Via Municipio, 1 ; 85050 Tito PZ",Comune di Tito,,40.5837504,15.6770495
Archivio Storico Comunale di Albano di Lucania,"- Deliberazioni del consiglio comunale ; - Conti e bilanci - Carteggio delle XV categorie. ; La documentazione è conservata in modo indistinto, per cui Documenti antichi, anche preunitari, sono frammisti a documenti recenti.",Archivio Pubblico Non Statale,Archivio documentale,Albano di Lucania,"Comune di Albano di Lucania, 53 ; Via Provinciale ; 85010 Albano di Lucania PZ",Comune di Albano di Lucania,sec. XIX -,40.5856296,16.0370370
Museo Interattivo del Giocattolo Povero e del Gioco di strada,"Il Museo è nato dal Progetto A.R.C.A. GIO’ –Azione di Ricerca, Costruzione e Animazione di GIOchi e GIOcattoli della Tradizione Popolare- ideato ed avviato nel 1996 dal Prof. DONATO ALLEGRETTI, cultore di arte e di demoantropologia; tale progetto, finalizzato alla fondazione di un “Museo del Giocattolo Povero e del Gioco di Strada” allo scopo di documentare, conservare e valorizzare il patrimonio ludico delle generazioni passate e per fruire più sanamente di quello ludico presente, fu presentato ai cittadini di Albano di Lucania nel 2002 in una pubblica assemblea, presieduta dal Sindaco pro tempore Prof. Franco Adamo, ed ebbe come relatori lo stesso autore Prof. Donato Allegretti e il Prof. Luca Gallo dell’Università degli Studi di Bari. Il Consiglio Comunale di Albano Di Lucania, condividendo il corale assenso dell’Assemblea Cittadina, approvò all’unanimità il progetto (Delibera n. 42 del 28.11.2002), che la Giunta Comunale avviò con una “Rassegna di Arte Contemporanea su Giochi e Giocattoli” ad invito specifico (Delibera n. 11 del 4.2.2004); con le stesse Delibere è stato nominato Coordinatore Scientifico del Museo e Direttore Artistico della Rassegna lo stesso Prof. Donato Allegretti. Con Delibera di Giunta n. 13 del 20.2.2006 fu inaugurato il “Museo Interattivo del Giocattolo Povero e del Gioco di Strada” dal Ministro Stefano Caldoro; avevano già dato la propria adesione: il Dipartimento di Scienze Pedagogiche e Didattiche – Facoltà di Scienze della Formazione dell’Università degli Studi di Bari con la collaborazione dei Proff. Giuseppe Russillo, Luca Gallo e Daniele Giancane (Verbale n. 13 del 25.11.2002), il Liceo Artistico “Pinot Gallizio” di Alba –CN- (Prot. N.3153 dell’11.10.2004) e l’Istituto Comprensivo di Albano Di Lucania. ; ; Contenuto del dettaglio: ; 1) Collezione di giocattoli poveri della tradizione popolare, provenienti dalla donazione del Prof. D. Allegretti, da altri donatori e prodotti dagli alunni delle quinte classi della Scuola Elementare di Albano Di Lucania nell’anno sc. 2004-05; ; 2) Collezione “ARTE IN GIOCO” : opere di Arte Contemporanea a tema sul “Gioco”, donate da: ; a- oltre 160 Maestri di chiara fama italiani e stranieri con qualche iniziato, che, su invito, parteciparono alla Rassegna; ; b- opere donate dal Liceo Artistico “P. Leto” di TEGGIANO (SA), prodotte nel laboratorio “Rici-gioco 2010”, diretto dall’artista Prof. Germano Torresi; ; c- dipinti donati dal Liceo Artistico “Lisippo” di TARANTO, provenienti dal progetto “Giochi Tradizionali di Strada - 2011”, diretto dall’artista Prof. Antonio Rolla; ; d- murales, modellati plastici e fumetti eseguiti in loco, durante la festa-convegno “ARTE IN GIOCO - 2012” dagli allievi del Liceo Artistico “Filiberto Menna” di SALERNO, coordinati dalle Prof.sse Cristina Tafuri e Bianca Perrucci; ; e- opere artistiche eseguite in loco dagli operatori delle seguenti strutture di Cultura Ludica: “Animum ludendo coles” (con l’artista Paola Maestroni) di LODI, “Le Città Invisibili” di CATANIA, “Ludoteca/Atelier” del Comune di GORIZIA; ; f- opere donate da privati (mazzo di carte “Il mercante della Murgia”, illustrato dal pittore Luigi Guerricchio (1932-96) e donato da Michele Pio Roberto Saponaro; “Cavalluccio” di cartapesta, eseguito da Salvatore Sacquegna (1877-1955) e donato dal sac. Don Angelo Mele; ecc.); ; 3) Collezione “IL GIOCO NELL’ARTE” : serie di riproduzioni a fini didattici di opere famose della Storia dell’Arte con riferimenti al gioco (in allestimento); ; 4) Raccolta libraria specialistica : il gioco, i cataloghi e le monografie degli artisti in mostra (consultazione previo appuntamento; NO prestiti).",Archivio Collezioni Private,Collezione oggettuale,Albano di Lucania,"Piazza Salvo D'acquisto, ; 85010 Albano di Lucania, Pz",Comune di Albano di Lucania,,40.5856296,16.0370370
Archivio Storico Comunale di Calciano,"- Deliberazioni della Giunta , 1915-1925; 1945-1969; 1971-1976, regg. 19; ; - Deliberazioni del Podestà, 1925-1945, regg. 3; ; - Deliberazioni del Commissario prefettizio, 1970, reg. 1; ; - Bilanci e conti, 1916-1972, bb. 57; ; - Carteggio generale, 1915-1987, bb. 555. - ; La documentazione è prevalentemente successiva al 1916, anno in cui Calciano, già frazione di Garaguso, ha ottenuto l'autonomia amministrativa. Comprende, tuttavia, anche alcuni atti del secolo XIX. Il carteggio è stato organizzato originariamente secondo le 15 categorie all'interno delle quali, però, non si è proceduto al raggruppamento delle pratiche per classi e sottoclassi. ; Deliberazioni del Consiglio, 1915-1925; 1946-1969; 1971-1976, regg. 41",Archivio Pubblico Non Statale,Archivio documentale,Calciano,"Via Sandro Pertini, 11, Calciano",Comune di Calciano,sec. XIX - 1987,40.5878273,16.1921356
Archivio Storico Comunale di Vietri di Potenza,,Archivio Pubblico Non Statale,Archivio documentale,Vietri di Potenza,"Corso Vittorio Emanuele, 113 ; 85058 Vietri di Potenza PZ",Comune di Vietri di Potenza,,40.6007394,15.5089660
Archivio Storico Comunale di Grottole,"L'archivio comprende i registri di nascita, matrimonio, morte e cittadinanza individuati separatamente solo per alcuni anni prevalentemente del secolo XX. Le carte dell'archivio comunale hanno, da qualche tempo, ricevuto ricovero in un immobile non molto distante dall'attuale sede del municipio. Il locale non è idoneo alla corretta conservazione della documentazione poichè risulta interessato da infiltrazioni di acqua piovana. Non esiste un servizio d'archivio formalmente istituito e la documentazione può essere consultata presentando opportuna istanza.",Archivio Pubblico Non Statale,Archivio documentale,Grottole,"Viale Kennedy, 53 ; 75010 Grottole MT",Comune di Grottole,sec. XIX - sec. XX,40.6020728,16.3806940
Archivio Storico Comunale di Tricarico,"Il complesso archivistico comprende documenti risalenti al XVIII secolo. Si tratta di un manoscritto che comprende atti demaniali redatti tra il 1744 ed il 1795. Vi sono, inoltre, delibere del decurionato, del Podestà, di giunta e di consiglio ed atti di contabilità a far data dal 1817. Negli ultimi vent'anni la documentazione d'archivio del comune di Tricarico, quella che si è salvata da un paio d'incendi avvenuti, pare, negli anni 1940 e 1948, è stata ammassata in stato di completo abbandono in luoghi diversi ed inidonei alla conservazione. Maldestre operazioni di trasferimento hanno causato, poi, mescolamenti e ammassi che hanno peggiorato ulteriormente la situazione. In considerazione di tale gravissimo stato di cose, l'Amministrazione comunale di Tricarico ha affidato ad una società specializzata in servizi archivistici l'incarico di intervenire per disinfestare le carte (che si presentavano notevolmente impolverate e degradate per le condizione di umidità e sporcizia in cui erano state abbandonate), effettuare le opportune operazioni di scarto ed avviare un progetto di totale riordinamento finalizzato all'istituzione dell'Archivio storico comunale.",Archivio Pubblico Non Statale,Archivio documentale,Tricarico,"via don Pancrazio Toscano, 1 ; 75019 Tricarico MT",Comune di Tricarico,1744 - 1989,40.6187777,16.1473518
Archivio Famiglia Putignani e Armento,"Documenti delle due famiglie, n. 3 pergamene e 184 documenti cartacei, carte sciolte, fascicoli, manoscritti e 1 platea.",Archivio Collezioni Private,Archivio documentale,Tricarico,"Via Duomo, Tricarico (MT)",Famiglia Putignani e Armento,secc. XVI-XIX,40.6187777,16.1473518
Archivio storico diocesano di Tricarico,- Fondo della Curia vescovile di Tricarico ( 1434 - 1989 ) ; - Fondo del Capitolo Cattedrale di Tricarico ( 1148 - sec. 20 ) ; - Fondo della Mensa vescovile di Tricarico ( 1546 - 1940 ) ; - Fondo del Tribunale ecclesiastico diocesano di Tricarico ( sec. 15 - sec. 20 ) ; - Fondo del Seminario vescovile di Tricarico ( 1726 - 1918 ) ; - Fondo della Confraternita di San Donato di Tricarico ( 1620 - 1957 ) ; - Fondo della Confraternita di Santa Maria del Carmine di Tricarico ( 1837 - 1940 ) ; - Fondo Azione Cattolica di Tricarico ( sec. 20 [ primo quarto ] - sec. 20 [ terzo quarto ] ) ; - Fondo mons. Raffaello delle Nocche vescovo di Tricarico (1922 - 1960) ( 1861 - 2013 ) ; - Fondo Conventi e Monasteri ( 1546 - 1949 ) ; - Fondo Confraternite Congreghe Opere pie della Diocesi di Tricarico ( 1702 - 1975 ) ; - Fondo della Confraternita di Sant'Antonio di Padova di Tricarico ( 1900 - 1981 ) - Fondo Mons. Raffaello delle Nocche vescovo di Tricarico (1922-1960) - Fondo dell'Azione Cattolica di Tricarico; ; - Fondo Tribunale ecclesiastico diocesano di Tricarico.,Archivio Diocesano,Archivio documentale,Tricarico,P.zza Mons. Delle Nocche 2 75019 Tricarico,Chiesa Cattolica,,40.6187777,16.1473518
Centro di documentazione Rocco Scotellaro,"FONDI FOTOGRAFICI ; Fondo Henri Cartier-Bresson ; Fondo Mario Cresci, ""Tricarico 1967"" ; Fondo Mario Cresci, ""Il presepe di Tricarico 1976"" ; Fondo Mario Cresci, ""I centri della Comunità Montana Medio Basento, 1983-1984"" ; Fondo Arturo Zavattini ; Fondo Mario Carbone “Tricarico e la Lucania di Carlo Levi. 1960” ; Fondo Antonio Pagnotta ; Fondo Aldo Marinetti ; Fondo Giuditta Pellegrini “La terra parla. Ritorno nella terra di Rocco Scotellaro”",Archivio Collezioni Private,Archivio documentale;Archivio fotografico,Tricarico,L.go San Francesco - 75019 TRICARICO (MT),Comune di Tricarico,,40.6187777,16.1473518
Archivio Storico Comunale di Grassano,"Circa 2800 unità archivistiche datate tra il 1809 e il 1983. L'archivio storico consta di circa 2800 unità archivistiche datate tra il 1809 e il 1983. Si articola in un piccolo ma prezioso fondo pre-unitario in cui spiccano per rilevanza il rarissimo atlante geografico del famoso cartografo brindisino Benedetto Marzolla (1801-1858) e il libro delle deliberazioni del decurionato di Grassano (1852-1859); un fondo post-unitario strutturato in serie e sottoserie tra cui spiccano, nel carteggio delle categorie, i fascicoli dei confinati politici, mafiosi e comuni (1928-1947). Ed in particolare risaltano i fascicoli delle donne condannate al confino per ""maffia"". Sono inoltre aggregati all'archivio storico gli archivi del Giudice Conciliatore (1857-1994), della Congregazione di Carità (poi Ente Comunale di Assistenza) (1879-1977), dell'Opera Nazionale Maternità ed Infanzia (1953-1974), dell'Istituto Nazionale Gestione Imposte di Consumo (1938-1974). ; L'archivio di deposito, che conserva documentazione afferente all'ultimo quarantennio (naturalmente non si esclude la presenza di materiale più antico al momento non individuabile stante il disordine), prodotta ed acquisita dall'ente nell'esercizio delle proprie funzioni istituzionali. I registri di stato civile più antichi si trovano in estremo disordine frammisti alla documentazione comunale. Una parte di essi a far data dal 1866 si trova, invece, collocata nell'ufficio di competenza. Per questi ultimi è stato possibile rilevare le diverse partizioni in serie e determinare l'esatta consistenza. Risulta disperso un registro di cittadinanza. La documentazione comunale ha patito negli ultimi anni spostamenti selvaggi e collocazioni in siti inidonei alla conservazione con grave rischio di dispersione. Molti documenti sono raccolti in scatoloni di cartone accatastati insieme ad altro materiale di risulta. Non esiste un servizio d'archivio formalmente istituito.",Archivio Pubblico Non Statale,Archivio documentale,Grassano,"Piazza Il Vento, 1 ; 75014 Grassano MT",Comune di Grassano,1809 - 1996,40.6326921,16.2835136
Mediateca Grassano -Palazzo Materi,"Agli atti depositati dal Comune di Grassano si sono aggiunti recentemente altri documenti. inviati dalle Signore Angela Vitale e Maria Luisa Bartoli, che completano ed integrano i primi. L'archivio documenta gli interessi e le attività di una delle famiglie borghesi dell'800 lucano. Dal suo insediamento a Grassano sul finire del '700 al suo consolidarsi all'interno della società locale attraverso l'attività notarile di Pasquale Materi, potenziato da Francesco Paolo e Luigi, entrambi sposati in tempi diversi a Mariannina Blasi. Dal secondo matrimonio nacque Francesco Paolo Materi, deputato al Parlamento italiano ed uomo chiave dell'organizzazione imprenditoriale lucana e promotore di innovazioni agrarie. I successori, fino a metà degli anni '50 del 1900, proseguirono nella pratica dei nuovi indirizzi agrari con interventi nell'edilizia rurale, nell'irrigazione, nella conservazione dei prodotti agricoli e nell'allevamento dei cavalli Bibliografia: ""La Regione incontra l'Archivio di Stato di Matera"", Matera, marzo 2000 - Ministero per i Beni e le Attività Culturali - Archivio di Stato di Matera, Regione Basilicata - Dipartimento Formazione, Lavoro, Cultura - Ufficio Beni Culturali ; Attualmente è sede della biblioteca comunale e dell'Internet Social Point (I.S.P.). In una sala dell'annesso primo nucleo della pinacoteca è custodito il celebre quadro raffigurante Grassano come una piccola Gerusalemme dipinto durante il confino nel 1935 da Carlo Levi, intellettuale e medico torinese di origine ebraica, celebre scrittore, poeta e pittore, autore del famoso Cristo si è fermato a Eboli, pubblicato dopo la guerra, tradotto in moltissime lingue e riportante le esperienze del lungo confino a cui fu sottoposto per le sue idee politiche. Il quadro custodito a Grassano è di proprietà della Regione Basilicata che lo ha meritoriamente acquistato recentemente, salvandolo dall'oblio. Archiviazione, catalogazione e divulgazione del patrimonio: documentale, editoriale, fotografico ed audiovisivo, del territorio locale;Atti comunali, fondi famiglie nobiliari, dipinti",Archivio Collezioni Private,Archivio documentale,Grassano,"CORSO UMBERTO I 138, 75014 Grassano (MT)",Comune di Grassano,,40.6326921,16.2835136
Archivio Famiglia Cascini di Carbone,2 platee relative al monastero di rito greco intitolato ai Santi Elia e Anastasio dell'ordine basiliano.,Archivio Collezioni Private,Archivio documentale,Potenza,"Archivio di Stato di Potenza, via Nazario Sauro 1 - 85100, Potenza (Potenza)",Privata,1577-1741,40.6372425,15.8022214
Archivio Storico della Provincia di Potenza,"L’Archivio della Provincia di Potenza è costituito dal complesso dei documenti prodotti e acquisiti dall’Ente nello svolgimento della propria attività e nell’esercizio delle proprie funzioni. L’Archivio è unico e le suddivisioni in archivio corrente, di deposito e storico (costituito da documenti redatti da oltre 40 anni) hanno solo funzione gestionale. Le modalità tecniche e operative per la gestione, tenuta, selezione e conservazione dei documenti sono definite dal Responsabile dell’Ufficio Archivio. ; La struttura dell'Archivio storico della Provincia di Potenza si articola nel modo seguente: ; Sezione 1: ARCHIVIO GENERALE DELL'AMMINISTRAZIONE PROVINCIALE ; Serie 1: Consiglio provinciale di Potenza, 1861 - 2002 ; Serie 2: Giunta provinciale di Potenza, 1861 - 2002 ; Serie 3: Contratti e Decreti, 1907 - 2002 ; Serie 4: Protocollo della corrispondenza, 1946 - 1999 ; Serie 5: Carteggio, 1809 - 1998 ; Sottoserie 1: Titolario, 1809 - 1925 ; CATEGORIA 2: [3] PERSONALE, 1862 - 1916 ; CATEGORIA 3: [4] PATRIMONIO, 1820 - 1931 ; CATEGORIA 4: [5] FINANZA E CONTABILITÀ, 1853 - 1916 ; CATEGORIA 5: [6] ISTRUZIONE PUBBLICA, 1850 - 1917 ; CATEGORIA 6: [7] AGRICOLTURA, 1854 - 1913 ; CATEGORIA 7: [10] BENEFICENZA, 1871 - 1913 ; CATEGORIA 8: [11] OPERE PUBBLICHE, 1809 - 1925 ; CATEGORIA 9: [12] AFFARI DIVERSI, 1860 - 1912 ; Serie 6: Contabilità, 1890 - 1992 ; Serie 7: Tributi, 1914 - 1968 ; Serie 8: Personale, 1914 - 2000 ; Serie 9: Assistenza, 1839 - 1992 ; Sezione 2: ARCHIVIO DELL'UFFICIO TECNICO PROVINCIALE, 1811 - 1957 ; Serie 1: Protocollo della corrispondenza, 1923 - 1999 ; Serie 2: Carteggio, 1811 - 1957 ; Serie 3: Registri, 1888 – 1934",Archivio Pubblico Non Statale,Archivio documentale,Potenza,"Piazza M. Pagano, 1 ; 85100 Potenza, Pz",Provincia di Potenza,1809- 2002,40.6372425,15.8022214
Archivio Famiglia Catenacci di Rionero in Vulture,Materiale documentario appartenente all'archivio della famiglia Catenacci di Rionero in Vulture . Consta di n. 2 faldoni: 1) n. 35 lettere di Giustino Fortunato e 71 lettere di Anna Fortunato a Gennaro e Aida Catenacci; 2) atti vari della famiglia Catenacci.,Archivio Collezioni Private,Archivio documentale,Potenza,"Archivio di Stato di Potenza, via Nazario Sauro 1 - 85100, Potenza (Potenza)",Privata,1927-1932,40.6372425,15.8022214
Archivio Società Clinica Gavioli di Potenza,"Documentazione relativa all'attività della società; comprende anche l'archivio della Casa di Cura per chirurgia ""Errico Nigro"" di Viggiano rilevata da Federico Gavioli e risalente al 1949 (12bb., 57 regg.).",Archivio Collezioni Private,Archivio documentale,Potenza,"Archivio di Stato di Potenza, via Nazario Sauro 1 - 85100, Potenza (Potenza)",Privata,1949-1968,40.6372425,15.8022214
Archivio Ospedale psichiatrico di Potenza,"L'archivio è stato dichiarato di notevole interesse storico in data 15 giugno 1999. ; La Soprintendenza archivistica per la Basilicata ha effettuato un intervento di censimento della documentazione a cura di Michele Durante, da cui è stata tratta la presente scheda. Il fondo è costituito dalla sola documentazione sanitaria, che comprende la serie delle cartelle cliniche, relative a 15.000 ricoveri.",Archivio Collezioni Private,Archivio documentale,Potenza,"Via Cicciotti, 44 ; 85100 Potenza, Pz",Privata,1958 - 2000,40.6372425,15.8022214
Archivio Casa della Divina Provvidenza Don Uva,Fascicoli relativi ai ricoveri che documentano l'attività dell'Ospedale Psichiatrico di Potenza realizzato da don Pasquale Uva (1883-1955) nell'ambito delle numerose attività caritative svolte dall'Opera religiosa da lui fondata.,Archivio Collezioni Private,Archivio documentale,Potenza,Largo Don Uva 2 ; 85100 Potenza (PZ),Privata,1958-,40.6372425,15.8022214
Archivio De Luca di Sasso di Castalda,"Documentazione attestante l'attività di don Giuseppe De Luca, sacerdote di Sasso di Castalda.",Archivio Collezioni Private,Archivio documentale,Potenza,"Archivio di Stato di Potenza, via Nazario Sauro 1 - 85100, Potenza (Potenza)",,secc. XIX-1956,40.6372425,15.8022214
Archivio Famiglia Albini di Montemurro (PZ),"Archivio di famiglia. Spiccano per il ruolo svolto nel corso del risorgimento lucano i due fratelli, Giacinto e Nicola. 4 faldoni.",Archivio Collezioni Private,Archivio documentale,Potenza,"Archivio di Stato di Potenza, via Nazario Sauro 1 - 85100, Potenza (Potenza)",Privata,secc. XIX-XX,40.6372425,15.8022214
Archivio Tommaso Pedio,"140 pezzi che testimoniano la proficua ed intensa attività del prof. Tommaso Pedio, avvocato, studioso, ricercatore e docente universitario, utilizzati per numerosi studi di storia locale e nazionale.",Archivio Collezioni Private,Archivio documentale,Potenza,"Archivio di Stato di Potenza, via Nazario Sauro 1 - 85100, Potenza (Potenza)",Privata,secc. XIX-XX,40.6372425,15.8022214
Archivio Famiglia D'Errico di Palazzo San Gervasio,"La documentazione riflette la vicenda di questa importante famiglia lucana la cui storia si intreccia con quella di Palazzo San Gervasio e della Basilicata. Gran parte della documentazione è costituita da testimonianze e vicende politiche di Agostino, Vincenzo e Camillo D'Errico. (4 pergamene, 12 faldoni e 4 volumi)",Archivio Collezioni Private,Archivio documentale,Potenza,"Archivio di Stato di Potenza, via Nazario Sauro 1 - 85100, Potenza (Potenza)",Privata,secc. XVII-XIX,40.6372425,15.8022214
Archivio Famiglia Filizzola di Nemoli (PZ),"L'archivio riguarda la storia della famiglia Filizzola, molto nota e importante in Basilicata nei secc.XVII-XIX, in quanto imparentata con altre famiglie gentilizie, fra le quali Alberti, Barone, Mandarini. L'archivio permette di seguire la storia sociale, economica, politica della zona ed i collegamenti con la storia regionale e nazionale; si evince la storia dei patrimoni fondiari confluiti, la storia delle famiglie imparentate, il ruolo pubblico dei Filizzola.",Archivio Collezioni Private,Archivio documentale,Potenza,"Archivio di Stato di Potenza, via Nazario Sauro 1 - 85100, Potenza (Potenza)",Privata,secc. XVII-XX,40.6372425,15.8022214
Archivio Storico Comunale di Potenza,,Archivio Pubblico Non Statale,Archivio documentale,Potenza,"Via Raffaele Danzi, 28 85100 Potenza PZ",Comune di Potenza,,40.6372425,15.8022214
Archivio Storico di Potenza,"Analogamente ad altri archivi provinciali del Mezzogiorno, in quello di Basilicata furono raccolte le carte residue delle magistrature dell’Antico Regime (Regia Udienza, corti baronali) e quelle non più occorrenti all’attività pratica degli uffici giudiziari, amministrativi e finanziari istituiti nella provincia (Tribunale civile, Gran Corte criminale, Gran Corte speciale, Intendenza di Basilicata, Consiglio d’Intendenza, Consiglio generale degli Ospizi, etc.). ; Nel corso degli anni, all’Istituto pervennero i versamenti degli archivi notarili di Potenza, Melfi e Lagonegro; dei tribunali della provincia e della Corte d'appello, dei giudicati regi e delle preture; della Prefettura e delle Sottoprefetture; l'archivio di Melfi dei principi Doria Pamphili; i registri del catasto provvisorio; gli archivi di alcuni enti pubblici soppressi per effetto dei d.p.r. 606 e 607 del 1973; liste di leva e ruoli matricolari militari; carte della Questura di Potenza e di diversi archivi privati; etc. ; L’ingente massa di documentazione che, nonostante le dispersioni, nel corso dei decenni si è venuta concentrando nell’Istituto, ne fanno uno degli Archivi più importanti del Mezzogiorno continentale. Attualmente il materiale archivistico conservato ammonta a più di 100.000 pezzi tra buste, volumi e registri, a 1065 pergamene, a circa 3.000 tra mappe e disegni, a 107 sigilli, a 123 incisioni, ad oltre 20.000 tra libri e periodici, per un totale di circa 10 km lineari di scaffalatura metallica.",Archivio di Stato,Archivio documentale;Archivio fotografico,Potenza,"Via Nazario Sauro 1 - 85100, Potenza (Potenza)",Statale,,40.6372425,15.8022214
Archivio Sonoro della Basilicata,"Una straordinaria raccolta di materiali sonori, fotografici e audiovisivi di fondamentale importanza per le musiche tradizionali della Basilicata. ; L'archivio è composto dai seguenti fondi e raccolte: ; - Fondo Accademia Nazionale Santa Cecilia (Parte relativa alla Basilicata di uno dei più importanti archivi di musiche tradizionali) ; - Fondo Bellusci (Attorno alle comunità albanofone) ; - Fondo Del Fra (Due casi esemplari di cinematografia demartiniana) ; - Fondo Di Gianni (Il primo e più importante etnodocumentarista di scuola demartiniana) ; - Fondo Feld (Dalla Nuova Guinea alla Basilicata) ; - Fondo Kanemitsu (Sulle danze della Basilicata meridionale) ; - Fondo Leydi (La parte lucana dell'archivio di uno dei padri dell'etnomusicologia italiana) ; - Fondo Marano (Una ricerca di antropologia visiva tuttora in svolgimento) ; - Fondo Museo Nazionale delle Arti e delle Tradizioni Popolari (Uno sterminato patrimonio sonoro, fotografico e audiovisivo) ; - Fondo Pinna (Tutti gli scatti lucani di un protagonista della fotografia italiana del '900) ; - Fondo Scaldaferri (Uno sguardo prospettico sulle musiche di tradizione) ; - Fondo Scaldaferri Vaja (Una capillare ricerca su tutto il territorio regionale) ; - Fondo Teche Rai (Uno straordinario giacimento culturale) ; - Fondo Unibas 1996-97 (Lungo strade poco battute) ; - Laboratorio di Etnomusicologia 2002 (Una significativa esperienza didattica e di ricerca)",Archivio Collezioni Private,Archivio sonoro;Archivio audiovisivo,Potenza,,Pubblica,,40.6372425,15.8022214
Archivio Storico Comunale di Picerno,,Archivio Pubblico Non Statale,Archivio documentale,Picerno,"Viale G. Albini, 2 ; 85055 Picerno PZ",Comune di Picerno,,40.6413070,15.6423720
Archivio Storico Comunale di Balvano,"SEZIONE I:Estremi cronologici: sec. XIX - 1987 ; Consistenza: Unità 1017: bb. 1017. ; Non esiste una separazione netta tra le carte dell'archivio storico e quelle di deposito. L'archivio comprende atti delle 15 categorie: la documentazione, ad eccezione di un registro del catasto del secolo XIX, data a partire dal 1912 pur non risultando essere mai state effettuate operazioni di scarto. In passato sono state individuate le seguenti serie e gruppi di documenti: ; Deliberazioni del Consiglio, 1915-1966, regg. 11; ; Mastri di contabilità, 1934-1966, regg. 30; ; Opere pubbliche, 1934-1966, cartt. 32; ; Ruoli soccorsi giornalieri ai congiunti militari sotto le armi, 1938-1947, fasci 25. ; ; SEZIONE II: Estremi cronologici: 1981 - 2004. Consistenza: Unità 792: bb. 686, regg. 106. ; Trattasi di una partizione dell'archivio di deposito rimasto presso gli uffici comunali coesistendo con la documentazione corrente. ; La documentazione risulta trovarsi in estremo disordine e non v'è distinzione tra l'archivio storico e quello di deposito.",Archivio Pubblico Non Statale,Archivio documentale,Balvano,Comune di Balvano ; Via Città Giardino ; 85050 Balvano PZ,Comune di Balvano,sec. XIX - 2004,40.6514259,15.5150000
Archivio Storico Comunale di Matera,"Atti e delibere comunali. Il Comune di Matera non ha un servizio d'archivio formalmente istituito e, pertanto, la documentazione è consultabile, previa richiesta scritta, in orari da concordare con il responsabile dell'Ufficio Archivio e Protocollo. Gran parte del materiale documentale appartenente al Comune di Matera, condizionato in buste e collocato su idonee scaffalature metalliche, è conservato in un locale sito nel seminterrato della casa municipale destinato ad ospitare sia l'archivio storico che quello di deposito. Il materiale archivistico, a seguito di un parziale intervento di recupero, risulta, però, logisticamente distinto in una parte propriamente storica e in un'altra relativa all'ultimo quarantennio. Altra documentazione appartenente all'ultimo quarantennio si trova, tuttavia, disordinatamente sistemata lungo i corridoi e nelle stanze di tutti i sei piani dell'edificio comunale stipata in armadi metallici o al di sopra di essi. Non esiste una separazione netta tra il materiale da considerare di deposito e quello corrente. La documentazione storica e di deposito del comune di Matera è costituita sostanzialmente da atti delle quindici categorie nonchè da alcune unità archivistiche di antico regime. ; L'archivio storico e di deposito del Comune di Matera è stato oggetto tra il 1989 ed il 1998 di numerosi interventi finalizzati alla sistemazione e al riordinamento, mediante schedatura cartacea, del cospicuo e pregevole materiale documentale di cui è costituito. Il primo progetto di riordinamento fu avviato nel 1989 a cura di un gruppo di giovani che operavano in virtù dell'art. 23 della Legge 67/88. Successivamente tra il 1993 ed il 1994 venne realizzato un altro progetto, articolato in due fasi, relativo anch'esso al riordino dell'archivio storico e di deposito al quale parteciparono alcuni dipendenti comunali. Nel 1995 con atto della G. M. n. 692 del 20.06.1995 venne deliberato un progetto di produttività anch'esso finalizzato alla prosecuzione dei lavori di riordino dell'archivio storico comunale articolato in due fasi. Tali interventi, tuttavia, pur realizzando un parziale riordinamento dell'archivio e l'individuazione e l'accorpamento di nuclei omogenei di documenti, non hanno mai portato alla redazione dell'inventario. Nel giugno del 1994 è stato effettuato uno scarto autorizzato di atti non più occorrenti alle esigenze dell'amministrazione comunale e storicamente irrilevanti. La documentazione storica e di deposito è sistemata in un ampio locale sito nel seminterrato della casa comunale e si trova collocata su scaffalature metalliche. Negli uffici e nei corridoi del Municipio di Matera, che consta di sei piani, sono state rilevate numerose cartelle accatastate sui tavoli e sugli armadi metallici e non si esclude che altro materiale anteriore all'ultimo quarantennio possa essere rinvenuto. ; L'archivio dell'E.C.A. e l'archivio dell'ex Patronato scolastico di Matera sono stati versati all' Archivio di Stato competente sul territorio in data 4.05.1985.",Archivio Pubblico Non Statale,Archivio documentale,Matera,Via Aldo Moro ; 75100 Matera MT,Comune di Matera,-2002,40.6686534,16.6060872
Archivio storico Domenico Notarangelo,"Bibliografia lucana in oltre 200 volumi (storia locale, archeologia, tradizioni popolari, poesia, letteratura varia, arte). Raccolta di libri politici, di storia sindacale, saggistica. ; Ricco assortimento di fotografie e di filmati in super8 riferite alla storia politica, sindacale e culturale della Basilicata. Pinacoteca Cinquanta quadri di autori in prevalenza lucani. Cospicua presenza di periodici dalle origini fino alla Repubblica. Giornali nazionali ; Tessere Partiti Sindacati – Varie associazioni Raccolta di libri politici, di storia sindacale, saggistica.Fotografie e filmati ; Ricco assortimento di fotografie e di filmati in super8 riferite alla storia politica, sindacale e culturale della Basilicata. Pinacoteca Cinquanta quadri di autori in prevalenza lucani. Moti 1799: documenti celebrazioni in Puglia e Basilicata del Bicentenario.",Archivio Collezioni Private,Archivio documentale,Matera,"Via Ferruccio Parri, 3 75100, Matera",Eredi Notarangelo,1799-2016,40.6686534,16.6060872
